#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
0.000000    100.000000 10.000000 1.000000    13790197.720031 1000.000000 0.100000
0.900000    100.000000 10.000000 1.000000    22810081.010188 5394.592730 0.100000
1.900000    100.000000 10.000000 1.000000    28633325.962108 9964.367303 0.100000
2.900000    100.000000 10.000000 1.000000    32680486.053970 13949.062785 0.100000
3.900000    100.000000 10.000000 1.000000    35685415.305335 17596.152847 0.100000
4.900000    100.000000 10.000000 1.000000    37998050.260262 20725.113698 0.100000
5.900000    100.000000 10.000000 1.000000    39821196.852744 23621.219201 0.100000
6.900000    100.000000 10.000000 1.000000    41284320.541203 26293.242612 0.100000
7.900000    100.000000 10.000000 1.000000    42475126.275563 28581.856637 0.100000
8.900000    100.000000 10.000000 1.000000    43455510.965836 30463.375523 0.100000
9.900000    100.000000 10.000000 1.000000    44270503.135801 32224.052167 0.100000
10.900000    100.000000 10.000000 1.000000    44953644.807320 33653.057078 0.100000
11.900000    100.000000 10.000000 1.000000    45530406.366236 35198.458649 0.100000
12.900000    100.000000 10.000000 1.000000    46020442.239910 36476.292489 0.100000
13.900000    100.000000 10.000000 1.000000    46439129.003861 37564.441203 0.100000
14.900000    100.000000 10.000000 1.000000    46798641.623856 38592.274859 0.100000
15.900000    100.000000 10.000000 1.000000    47108722.865085 39553.381614 0.100000
16.900000    100.000000 10.000000 1.000000    47377243.458716 40431.407168 0.100000
17.900000    100.000000 10.000000 1.000000    47610616.400734 41254.379513 0.100000
18.900000    100.000000 10.000000 1.000000    47814107.630860 41922.738631 0.100000
19.900000    100.000000 10.000000 1.000000    47992071.891153 42584.801242 0.100000
20.900000    100.000000 10.000000 1.000000    48148133.777826 43313.164697 0.100000
21.900000    100.000000 10.000000 1.000000    48285328.129920 43861.450891 0.100000
22.900000    100.000000 10.000000 1.000000    48406209.899087 44378.244758 0.100000
23.900000    100.000000 10.000000 1.000000    48512940.873080 44962.595572 0.100000
24.900000    100.000000 10.000000 1.000000    48607358.675010 45395.838735 0.100000
25.900000    100.000000 10.000000 1.000000    48691032.069251 45811.929189 0.100000
26.900000    100.000000 10.000000 1.000000    48765305.600409 46153.574120 0.100000
27.900000    100.000000 10.000000 1.000000    48831335.858251 46451.225303 0.100000
28.900000    100.000000 10.000000 1.000000    48890121.120779 46739.799413 0.100000
29.900000    100.000000 10.000000 1.000000    48942525.724842 47017.540689 0.100000
30.900000    100.000000 10.000000 1.000000    48989300.211406 47064.224874 0.100000
31.900000    100.000000 10.000000 1.000000    49031098.063715 47340.147775 0.100000
32.900000    100.000000 10.000000 1.000000    49068489.682024 47652.912443 0.100000
33.900000    100.000000 10.000000 1.000000    49101974.104420 48009.610977 0.100000
34.900000    100.000000 10.000000 1.000000    49131988.879651 48263.470458 0.100000
35.900000    100.000000 10.000000 1.000000    49158918.417039 48359.081867 0.100000
36.900000    100.000000 10.000000 1.000000    49183101.075380 48328.048617 0.100000
37.900000    100.000000 10.000000 1.000000    49204835.202948 48413.210226 0.100000
38.900000    100.000000 10.000000 1.000000    49224384.301175 48668.631568 0.100000
39.900000    100.000000 10.000000 1.000000    49241981.453264 48917.697352 0.100000
40.900000    100.000000 10.000000 1.000000    49257833.133702 49037.413078 0.100000
41.900000    100.000000 10.000000 1.000000    49272122.494492 49165.265179 0.100000
42.900000    100.000000 10.000000 1.000000    49285012.207468 49261.631736 0.100000
43.900000    100.000000 10.000000 1.000000    49296646.928796 49501.098223 0.100000
44.900000    100.000000 10.000000 1.000000    49307155.440874 49644.053657 0.100000
45.900000    100.000000 10.000000 1.000000    49316652.518008 49759.348656 0.100000
46.900000    100.000000 10.000000 1.000000    49325240.554796 49832.110740 0.100000
47.900000    100.000000 10.000000 1.000000    49333010.990221 49813.642753 0.100000
48.900000    100.000000 10.000000 1.000000    49340045.555366 49848.959145 0.100000
49.900000    100.000000 10.000000 1.000000    49346417.368495 49696.097024 0.100000
50.900000    100.000000 10.000000 1.000000    49352191.897741 49761.069284 0.100000
51.900000    100.000000 10.000000 1.000000    49357427.808704 49865.920588 0.100000
52.900000    100.000000 10.000000 1.000000    49362177.711842 50039.078150 0.100000
53.900000    100.000000 10.000000 1.000000    49366488.822381 50124.571341 0.100000
54.900000    99.000000 10.000000 1.000000    49370403.543751 50238.839375 0.100000
55.900000    99.000000 10.000000 1.000000    49373959.984076 50342.229390 0.100000
56.900000    99.000000 10.000000 1.000000    49377192.413907 50369.236268 0.100000
57.900000    99.000000 10.000000 1.000000    49380131.672341 50147.964567 0.100000
58.900000    99.000000 10.000000 1.000000    49382805.527739 50059.769601 0.100000
59.900000    99.000000 10.000000 1.000000    49385238.998457 49742.904857 0.100000
60.900000    99.000000 10.000000 1.000000    49387454.638268 49551.497928 0.100000
61.900000    99.000000 10.000000 1.000000    49389472.790594 49205.233312 0.100000
62.900000    99.000000 10.000000 1.000000    49391311.815201 48974.338360 0.100000
63.900000    99.000000 10.000000 1.000000    49392988.290474 48805.579342 0.100000
64.900000    99.000000 10.000000 1.000000    49394517.194026 48686.960790 0.100000
65.900000    99.000000 10.000000 1.000000    49395912.064175 48686.866073 0.100000
66.900000    99.000000 10.000000 1.000000    49397185.144295 48757.692416 0.100000
67.900000    99.000000 10.000000 1.000000    49398347.512084 48689.719125 0.100000
68.900000    99.000000 10.000000 1.000000    49399409.195299 48685.937458 0.100000
69.900000    99.000000 10.000000 1.000000    49400379.275507 48882.738572 0.100000
70.900000    99.000000 10.000000 1.000000    49401265.981114 48832.694470 0.100000
71.900000    100.000000 10.000000 1.000000    49402076.770882 48654.485890 0.100000
72.900000    101.000000 10.000000 1.000000    49402818.408880 48686.144561 0.100000
73.900000    101.000000 10.000000 1.000000    49403497.031862 48649.951008 0.100000
74.900000    102.000000 10.000000 1.000000    49404118.209814 48625.284242 0.100000
75.900000    104.000000 10.000000 1.000000    49404687.000424 48553.512062 0.100000
76.900000    105.000000 10.000000 1.000000    49405207.998105 48506.038088 0.100000
77.900000    105.000000 10.000000 1.000000    49405685.378138 48317.439720 0.100000
78.900000    106.000000 10.000000 1.000000    49406122.936420 48173.943025 0.100000
79.900000    107.000000 10.000000 1.000000    49406524.125327 47976.091601 0.100000
80.900000    107.000000 10.000000 1.000000    49406892.086017 47910.259460 0.100000
81.900000    107.000000 10.000000 1.000000    49407229.677610 47830.439221 0.100000
82.900000    107.000000 10.000000 1.000000    49407539.503485 47816.308048 0.100000
83.900000    107.000000 10.000000 1.000000    49407823.935073 47789.196100 0.100000
84.900000    108.000000 10.000000 1.000000    49408085.133315 47873.644751 0.100000
85.900000    108.000000 10.000000 1.000000    49408325.068081 47851.869743 0.100000
86.900000    108.000000 10.000000 1.000000    49408545.535724 47861.524521 0.100000
87.900000    108.000000 10.000000 1.000000    49408748.174945 47999.032853 0.100000
88.900000    108.000000 10.000000 1.000000    49408934.481176 47994.075698 0.100000
89.900000    109.000000 10.000000 1.000000    49409105.819579 48143.962316 0.100000
90.900000    110.000000 10.000000 1.000000    49409263.436844 48220.805599 0.100000
91.900000    111.000000 10.000000 1.000000    49409408.471851 48431.796263 0.100000
92.900000    111.000000 10.000000 1.000000    49409541.965360 48460.237021 0.100000
93.900000    111.000000 10.000000 1.000000    49409664.868782 48482.541395 0.100000
94.900000    111.000000 10.000000 1.000000    49409778.052143 48499.789439 0.100000
95.900000    111.000000 10.000000 1.000000    49409882.311320 48607.049791 0.100000
96.900000    112.000000 10.000000 1.000000    49409978.374583 48677.920801 0.100000
97.900000    112.000000 10.000000 1.000000    49410066.908574 48676.677977 0.100000
98.900000    113.000000 10.000000 1.000000    49410148.523705 48681.816640 0.100000
99.900000    113.000000 10.000000 1.000000    49410223.779087 48843.313501 0.100000
