#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
0.000000    100.000000 10.000000 1.000000    13790197.720031 1000.000000 0.100000
0.900000    100.000000 10.000000 1.000000    22810081.010188 5364.244647 0.100000
1.900000    100.000000 10.000000 1.000000    28633325.962108 9866.383802 0.100000
2.900000    100.000000 10.000000 1.000000    32680486.053970 14042.990592 0.100000
3.900000    100.000000 10.000000 1.000000    35685415.305335 17689.020711 0.100000
4.900000    100.000000 10.000000 1.000000    37998050.260262 21037.482275 0.100000
5.900000    100.000000 10.000000 1.000000    39821196.852744 23852.272770 0.100000
6.900000    100.000000 10.000000 1.000000    41284320.541203 26532.634519 0.100000
7.900000    100.000000 10.000000 1.000000    42475126.275563 28866.873853 0.100000
8.900000    100.000000 10.000000 1.000000    43455510.965836 31158.905665 0.100000
9.900000    100.000000 10.000000 1.000000    44270503.135801 33113.575168 0.100000
10.900000    100.000000 10.000000 1.000000    44953644.807320 34962.724858 0.100000
11.900000    100.000000 10.000000 1.000000    45530406.366236 36497.711756 0.100000
12.900000    100.000000 10.000000 1.000000    46020442.239910 37782.022374 0.100000
13.900000    100.000000 10.000000 1.000000    46439129.003861 38842.401592 0.100000
14.900000    100.000000 10.000000 1.000000    46798641.623856 39829.040549 0.100000
15.900000    100.000000 10.000000 1.000000    47108722.865085 40585.909837 0.100000
16.900000    100.000000 10.000000 1.000000    47377243.458716 41340.091471 0.100000
17.900000    100.000000 10.000000 1.000000    47610616.400734 42141.864547 0.100000
18.900000    100.000000 10.000000 1.000000    47814107.630860 42753.179307 0.100000
19.900000    100.000000 10.000000 1.000000    47992071.891153 43426.973459 0.100000
20.900000    100.000000 10.000000 1.000000    48148133.777826 43888.483003 0.100000
21.900000    100.000000 10.000000 1.000000    48285328.129920 44501.276132 0.100000
22.900000    100.000000 10.000000 1.000000    48406209.899087 45020.581149 0.100000
23.900000    100.000000 10.000000 1.000000    48512940.873080 45440.111810 0.100000
24.900000    100.000000 10.000000 1.000000    48607358.675010 45901.427404 0.100000
25.900000    100.000000 10.000000 1.000000    48691032.069251 46254.088523 0.100000
26.900000    100.000000 10.000000 1.000000    48765305.600409 46362.388617 0.100000
27.900000    100.000000 10.000000 1.000000    48831335.858251 46460.984375 0.100000
28.900000    100.000000 10.000000 1.000000    48890121.120779 46701.141863 0.100000
29.900000    100.000000 9.000000 1.000000    48942525.724842 46992.780121 0.100000
30.900000    100.000000 9.000000 1.000000    48989300.211406 46824.776618 0.100000
31.900000    100.000000 9.000000 1.000000    49031098.063715 46705.062116 0.100000
32.900000    100.000000 9.000000 1.000000    49068489.682024 46558.169408 0.100000
33.900000    100.000000 9.000000 1.000000    49101974.104420 46434.059230 0.100000
34.900000    100.000000 9.000000 1.000000    49131988.879651 46050.324138 0.100000
35.900000    100.000000 9.000000 1.000000    49158918.417039 45881.483549 0.100000
36.900000    100.000000 9.000000 1.000000    49183101.075380 45918.089038 0.100000
37.900000    100.000000 9.000000 1.000000    49204835.202948 46027.303444 0.100000
38.900000    100.000000 9.000000 1.000000    49224384.301175 45939.110386 0.100000
39.900000    100.000000 9.000000 1.000000    49241981.453264 45891.422103 0.100000
40.900000    100.000000 9.000000 1.000000    49257833.133702 45844.931873 0.100000
41.900000    100.000000 9.000000 1.000000    49272122.494492 45735.561727 0.100000
42.900000    100.000000 9.000000 1.000000    49285012.207468 45740.577691 0.100000
43.900000    100.000000 9.000000 1.000000    49296646.928796 45722.553029 0.100000
44.900000    100.000000 9.000000 1.000000    49307155.440874 45623.500104 0.100000
45.900000    100.000000 9.000000 1.000000    49316652.518008 45394.772957 0.100000
46.900000    100.000000 9.000000 1.000000    49325240.554796 45301.051255 0.100000
47.900000    100.000000 9.000000 1.000000    49333010.990221 45172.694573 0.100000
48.900000    100.000000 9.000000 1.000000    49340045.555366 45081.584201 0.100000
49.900000    100.000000 9.000000 1.000000    49346417.368495 44896.150534 0.100000
50.900000    100.000000 9.000000 1.000000    49352191.897741 44808.290385 0.100000
51.900000    100.000000 9.000000 1.000000    49357427.808704 44635.817128 0.100000
52.900000    100.000000 9.000000 1.000000    49362177.711842 44734.762056 0.100000
53.900000    100.000000 9.000000 1.000000    49366488.822381 44782.581446 0.100000
54.900000    99.000000 9.000000 1.000000    49370403.543751 44933.304561 0.100000
55.900000    99.000000 9.000000 1.000000    49373959.984076 44985.041920 0.100000
56.900000    99.000000 9.000000 1.000000    49377192.413907 44990.347585 0.100000
57.900000    99.000000 9.000000 1.000000    49380131.672341 44983.997606 0.100000
58.900000    99.000000 9.000000 1.000000    49382805.527739 44979.344605 0.100000
59.900000    99.000000 9.000000 1.000000    49385238.998457 44901.021934 0.100000
60.900000    99.000000 9.000000 1.000000    49387454.638268 44746.581500 0.100000
61.900000    99.000000 9.000000 1.000000    49389472.790594 44625.610511 0.100000
62.900000    99.000000 9.000000 1.000000    49391311.815201 44684.218168 0.100000
63.900000    99.000000 9.000000 1.000000    49392988.290474 44692.174328 0.100000
64.900000    99.000000 9.000000 1.000000    49394517.194026 44827.856332 0.100000
65.900000    99.000000 9.000000 1.000000    49395912.064175 44710.848990 0.100000
66.900000    99.000000 9.000000 1.000000    49397185.144295 44737.006157 0.100000
67.900000    99.000000 9.000000 1.000000    49398347.512084 44596.015847 0.100000
68.900000    99.000000 9.000000 1.000000    49399409.195299 44642.127083 0.100000
69.900000    99.000000 9.000000 1.000000    49400379.275507 44593.929484 0.100000
70.900000    99.000000 9.000000 1.000000    49401265.981114 44510.023168 0.100000
71.900000    100.000000 9.000000 1.000000    49402076.770882 44457.895957 0.100000
72.900000    101.000000 9.000000 1.000000    49402818.408880 44567.064201 0.100000
73.900000    101.000000 9.000000 1.000000    49403497.031862 44614.891746 0.100000
74.900000    102.000000 9.000000 1.000000    49404118.209814 44368.878638 0.100000
75.900000    103.000000 9.000000 1.000000    49404687.000424 44108.922899 0.100000
76.900000    105.000000 9.000000 1.000000    49405207.998105 43926.788648 0.100000
77.900000    106.000000 9.000000 1.000000    49405685.378138 43717.781095 0.100000
78.900000    106.000000 9.000000 1.000000    49406122.936420 43690.789000 0.100000
79.900000    107.000000 9.000000 1.000000    49406524.125327 43602.881452 0.100000
80.900000    107.000000 9.000000 1.000000    49406892.086017 43712.704824 0.100000
81.900000    107.000000 9.000000 1.000000    49407229.677610 43734.387000 0.100000
82.900000    107.000000 9.000000 1.000000    49407539.503485 43847.428115 0.100000
83.900000    107.000000 9.000000 1.000000    49407823.935073 43676.844984 0.100000
84.900000    107.000000 9.000000 1.000000    49408085.133315 43696.544183 0.100000
85.900000    107.000000 9.000000 1.000000    49408325.068081 43784.808202 0.100000
86.900000    108.000000 9.000000 1.000000    49408545.535724 43800.874247 0.100000
87.900000    108.000000 9.000000 1.000000    49408748.174945 43920.065642 0.100000
88.900000    108.000000 9.000000 1.000000    49408934.481176 43767.827793 0.100000
89.900000    108.000000 9.000000 1.000000    49409105.819579 43874.031550 0.100000
90.900000    110.000000 9.000000 1.000000    49409263.436844 43883.970806 0.100000
91.900000    110.000000 9.000000 1.000000    49409408.471851 44142.277531 0.100000
92.900000    110.000000 9.000000 1.000000    49409541.965360 44201.631182 0.100000
93.900000    111.000000 9.000000 1.000000    49409664.868782 44247.753592 0.100000
94.900000    111.000000 9.000000 1.000000    49409778.052143 44186.193786 0.100000
95.900000    111.000000 9.000000 1.000000    49409882.311320 44098.298246 0.100000
96.900000    112.000000 9.000000 1.000000    49409978.374583 43990.334947 0.100000
