#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
0.000000    970.000000 9.000000 20.000000    13790197.720031 1000.000000 0.100000
0.900000    970.000000 9.000000 20.000000    22810081.010188 4891.860475 0.100000
1.900000    969.000000 9.000000 20.000000    28633325.962108 8817.383560 0.100000
2.900000    969.000000 9.000000 20.000000    32680486.053970 12215.831384 0.100000
3.900000    969.000000 8.000000 20.000000    35685415.305335 14923.797292 0.100000
4.900000    969.000000 8.000000 20.000000    37998050.260262 17125.510216 0.100000
5.900000    969.000000 7.000000 20.000000    39821196.852744 19080.532278 0.100000
6.900000    969.000000 5.000000 20.000000    41284320.541203 20290.371354 0.100000
7.900000    969.000000 5.000000 20.000000    42475126.275563 20585.772791 0.100000
8.900000    969.000000 4.000000 20.000000    43455510.965836 20515.545083 0.100000
9.900000    969.000000 4.000000 20.000000    44270503.135801 20364.103856 0.100000
10.900000    968.000000 4.000000 20.000000    44953644.807320 20204.947247 0.100000
11.900000    967.000000 4.000000 20.000000    45530406.366236 20098.494279 0.100000
12.900000    967.000000 4.000000 20.000000    46020442.239910 19895.456717 0.100000
13.900000    967.000000 4.000000 20.000000    46439129.003861 19671.490421 0.100000
14.900000    967.000000 4.000000 20.000000    46798641.623856 19465.856136 0.100000
15.900000    967.000000 4.000000 20.000000    47108722.865085 19378.442564 0.100000
16.900000    967.000000 4.000000 20.000000    47377243.458716 19232.723060 0.100000
17.900000    967.000000 4.000000 20.000000    47610616.400734 19070.981234 0.100000
18.900000    967.000000 4.000000 20.000000    47814107.630860 18953.058867 0.100000
19.900000    967.000000 4.000000 20.000000    47992071.891153 18943.474190 0.100000
20.900000    967.000000 4.000000 20.000000    48148133.777826 18824.166881 0.100000
21.900000    967.000000 4.000000 20.000000    48285328.129920 18807.732321 0.100000
22.900000    967.000000 4.000000 20.000000    48406209.899087 18751.337312 0.100000
23.900000    967.000000 4.000000 20.000000    48512940.873080 18846.985169 0.100000
24.900000    967.000000 4.000000 20.000000    48607358.675010 18788.725522 0.100000
25.900000    967.000000 3.000000 20.000000    48691032.069251 18929.312866 0.100000
26.900000    967.000000 3.000000 20.000000    48765305.600409 18484.671282 0.100000
27.900000    967.000000 3.000000 20.000000    48831335.858251 18053.771364 0.100000
28.900000    967.000000 3.000000 20.000000    48890121.120779 17724.333418 0.100000
29.900000    967.000000 3.000000 20.000000    48942525.724842 17369.631026 0.100000
30.900000    967.000000 3.000000 20.000000    48989300.211406 17047.372270 0.100000
31.900000    967.000000 3.000000 20.000000    49031098.063715 16752.045801 0.100000
32.900000    967.000000 3.000000 20.000000    49068489.682024 16487.871043 0.100000
33.900000    967.000000 3.000000 20.000000    49101974.104420 16174.454828 0.100000
34.900000    967.000000 3.000000 20.000000    49131988.879651 15952.546086 0.100000
35.900000    967.000000 3.000000 20.000000    49158918.417039 15686.558266 0.100000
36.900000    967.000000 3.000000 20.000000    49183101.075380 15540.437820 0.100000
37.900000    967.000000 3.000000 20.000000    49204835.202948 15382.154792 0.100000
38.900000    967.000000 3.000000 20.000000    49224384.301175 15252.746541 0.100000
39.900000    967.000000 3.000000 20.000000    49241981.453264 15185.593937 0.100000
40.900000    967.000000 3.000000 20.000000    49257833.133702 15100.929681 0.100000
41.900000    967.000000 3.000000 20.000000    49272122.494492 15028.114095 0.100000
42.900000    967.000000 3.000000 20.000000    49285012.207468 15028.036615 0.100000
43.900000    966.000000 3.000000 20.000000    49296646.928796 14895.728539 0.100000
44.900000    966.000000 3.000000 20.000000    49307155.440874 14881.318646 0.100000
45.900000    966.000000 3.000000 20.000000    49316652.518008 14763.406064 0.100000
46.900000    966.000000 3.000000 20.000000    49325240.554796 14711.331958 0.100000
47.900000    966.000000 3.000000 20.000000    49333010.990221 14605.042426 0.100000
48.900000    966.000000 3.000000 20.000000    49340045.555366 14536.827254 0.100000
49.900000    966.000000 3.000000 20.000000    49346417.368495 14442.848197 0.100000
50.900000    966.000000 3.000000 20.000000    49352191.897741 14391.213170 0.100000
51.900000    966.000000 3.000000 20.000000    49357427.808704 14388.390383 0.100000
52.900000    966.000000 3.000000 20.000000    49362177.711842 14334.618396 0.100000
53.900000    966.000000 3.000000 20.000000    49366488.822381 14247.884494 0.100000
54.900000    965.000000 3.000000 20.000000    49370403.543751 14216.327792 0.100000
55.900000    965.000000 3.000000 20.000000    49373959.984076 14185.538971 0.100000
56.900000    965.000000 3.000000 20.000000    49377192.413907 14314.521133 0.100000
57.900000    965.000000 3.000000 20.000000    49380131.672341 14315.804984 0.100000
58.900000    964.000000 3.000000 20.000000    49382805.527739 14319.563048 0.100000
59.900000    964.000000 3.000000 20.000000    49385238.998457 14354.371930 0.100000
60.900000    964.000000 3.000000 20.000000    49387454.638268 14316.747574 0.100000
61.900000    964.000000 3.000000 20.000000    49389472.790594 14279.498701 0.100000
62.900000    964.000000 3.000000 20.000000    49391311.815201 14277.243219 0.100000
63.900000    964.000000 3.000000 20.000000    49392988.290474 14299.004598 0.100000
64.900000    964.000000 2.000000 20.000000    49394517.194026 14063.067121 0.100000
65.900000    964.000000 2.000000 20.000000    49395912.064175 13553.827997 0.100000
66.900000    965.000000 2.000000 20.000000    49397185.144295 13160.332515 0.100000
67.900000    966.000000 2.000000 20.000000    49398347.512084 12774.979098 0.100000
68.900000    967.000000 2.000000 20.000000    49399409.195299 12419.264426 0.100000
69.900000    966.000000 2.000000 20.000000    49400379.275507 12133.139586 0.100000
70.900000    966.000000 2.000000 20.000000    49401265.981114 11831.871395 0.100000
71.900000    966.000000 2.000000 20.000000    49402076.770882 11603.083816 0.100000
72.900000    966.000000 2.000000 20.000000    49402818.408880 11366.297675 0.100000
73.900000    967.000000 2.000000 20.000000    49403497.031862 11185.858286 0.100000
74.900000    968.000000 2.000000 20.000000    49404118.209814 11095.198086 0.100000
75.900000    968.000000 2.000000 20.000000    49404687.000424 10910.065557 0.100000
76.900000    970.000000 2.000000 20.000000    49405207.998105 10733.583486 0.100000
77.900000    972.000000 2.000000 20.000000    49405685.378138 10587.447018 0.100000
78.900000    972.000000 2.000000 20.000000    49406122.936420 10482.920978 0.100000
79.900000    972.000000 2.000000 20.000000    49406524.125327 10387.799029 0.100000
80.900000    973.000000 2.000000 20.000000    49406892.086017 10342.336556 0.100000
81.900000    973.000000 1.000000 20.000000    49407229.677610 10056.642623 0.100000
82.900000    974.000000 1.000000 20.000000    49407539.503485 9519.517885 0.100000
83.900000    976.000000 1.000000 20.000000    49407823.935073 9063.318694 0.100000
84.900000    976.000000 1.000000 20.000000    49408085.133315 8648.875664 0.100000
85.900000    978.000000 1.000000 20.000000    49408325.068081 8242.413672 0.100000
86.900000    980.000000 1.000000 20.000000    49408545.535724 7872.385451 0.100000
87.900000    979.000000 1.000000 20.000000    49408748.174945 7569.331129 0.100000
88.900000    982.000000 1.000000 20.000000    49408934.481176 7322.530329 0.100000
89.900000    984.000000 1.000000 20.000000    49409105.819579 7080.967241 0.100000
90.900000    985.000000 1.000000 20.000000    49409263.436844 6825.656147 0.100000
91.900000    985.000000 1.000000 20.000000    49409408.471851 6625.726463 0.100000
92.900000    986.000000 1.000000 20.000000    49409541.965360 6443.798103 0.100000
93.900000    988.000000 1.000000 20.000000    49409664.868782 6309.474905 0.100000
94.900000    990.000000 1.000000 20.000000    49409778.052143 6123.135460 0.100000
95.900000    993.000000 1.000000 20.000000    49409882.311320 6021.802797 0.100000
96.900000    994.000000 1.000000 20.000000    49409978.374583 5864.767138 0.100000
97.900000    995.000000 1.000000 20.000000    49410066.908574 5757.830801 0.100000
98.900000    996.000000 1.000000 20.000000    49410148.523705 5661.735802 0.100000
99.900000    997.000000 1.000000 20.000000    49410223.779087 5571.145571 0.100000
100.900000    999.000000 1.000000 20.000000    49410293.187003 5525.428434 0.100000
101.900000    1001.000000 1.000000 20.000000    49410357.216967 5450.870138 0.100000
102.900000    1001.000000 1.000000 20.000000    49410416.299453 5350.184098 0.100000
103.900000    1002.000000 1.000000 20.000000    49410470.829230 5256.795516 0.100000
104.900000    1002.000000 1.000000 20.000000    49410521.168457 5171.954000 0.100000
